,estuary,tidal_phase,discharge,best_C_k,min_error,observed_residence_time,modeled_flushing_time,S_in_mean,S_out_mean,eta,Ro_s,vel_tide,ur,within_percent
20,Kent,spring,20,0.0,[34.4277123],200,[165.5722877],27.59701763812046,27.403801467004325,24.90623761536712,1021.1029964400559,0.5122197051258203,0.0007619047619047619,yes
21,Kent,spring,30,0.0,[89.61847487],200,[110.38152513],27.59701763812046,27.403801467004325,24.90623761536712,1021.1029964400559,0.5122197051258203,0.0011428571428571432,no
22,Kent,spring,40,0.0,[117.21385615],200,[82.78614385],27.59701763812046,27.403801467004325,24.90623761536712,1021.1029964400559,0.5122197051258203,0.0015238095238095239,no
23,Kent,spring,50,0.0,[133.77108492],200,[66.22891508],27.59701763812046,27.403801467004325,24.90623761536712,1021.1029964400559,0.5122197051258203,0.001904761904761905,no
24,Kent,neap,1,4.498432668969444,[693.40062133],149,[842.40062133],28.030782522581905,27.98085757979915,0.09935682271193526,1021.4182843710322,0.032355184187131875,3.809523809523809e-05,no
25,Kent,neap,2,3.39322177189533,[589.6634125],149,[-440.6634125],28.030782522581905,28.083014430057542,0.09935682271193526,1021.4182843710322,0.032355184187131875,7.619047619047618e-05,no
26,Kent,neap,5,1.4563484775012443,[128.28935291],149,[277.28935291],28.030782522581905,27.94861463993858,0.09935682271193526,1021.4182843710322,0.032355184187131875,0.00019047619047619048,no
27,Kent,neap,10,0.8286427728546842,[74.81538419],149,[223.81538419],28.030782522581905,27.898138149267314,0.09935682271193526,1021.4182843710322,0.032355184187131875,0.00038095238095238096,no
28,Kent,neap,20,0.6250551925273969,[13.10368875],55,[41.89631125],28.030782522581905,27.981122755264973,0.09935682271193526,1021.4182843710322,0.032355184187131875,0.0007619047619047619,yes
29,Kent,neap,30,0.47148663634573945,[21.30764834],55,[33.69235166],28.030782522581905,27.970879122011354,0.09935682271193526,1021.4182843710322,0.032355184187131875,0.0011428571428571432,no
30,Kent,neap,40,0.35564803062231287,[9.42414828],55,[45.57585172],28.030782522581905,27.922740257105655,0.09935682271193526,1021.4182843710322,0.032355184187131875,0.0015238095238095239,yes
31,Kent,neap,50,0.2682695795279725,[2.20415031],55,[57.20415031],28.030782522581905,27.861272086631345,0.09935682271193526,1021.4182843710322,0.032355184187131875,0.001904761904761905,yes
32,Leven,spring,1,1.9306977288832496,[100.66119703],51,[-49.66119703],27.822821016483733,27.82751070253472,11.528029981969928,1021.2879691498998,0.5122197051258203,8.23045267489712e-05,no
33,Leven,spring,2,1.0985411419875573,[20.27798649],51,[71.27798649],27.822821016483733,27.809358941503252,11.528029981969928,1021.2879691498998,0.5122197051258203,0.0001646090534979424,no
34,Leven,spring,5,0.6250551925273969,[38.03941425],51,[12.96058575],27.822821016483733,27.816701442064016,11.528029981969928,1021.2879691498998,0.5122197051258203,0.000411522633744856,no
35,Leven,spring,10,0.2682695795279725,[14.0406399],51,[65.0406399],27.822821016483733,27.761400793059547,11.528029981969928,1021.2879691498998,0.5122197051258203,0.000823045267489712,yes
36,Leven,spring,20,0.0,[55.44443577],150,[94.55556423],27.822821016483733,27.644236553282965,11.528029981969928,1021.2879691498998,0.5122197051258203,0.001646090534979424,no
37,Leven,spring,30,0.0,[86.96295718],150,[63.03704282],27.822821016483733,27.644236553282965,11.528029981969928,1021.2879691498998,0.5122197051258203,0.0024691358024691358,no
38,Leven,spring,40,0.0,[102.72221788],150,[47.27778212],27.822821016483733,27.644236553282965,11.528029981969928,1021.2879691498998,0.5122197051258203,0.003292181069958848,no
39,Leven,spring,50,0.0,[112.17777431],150,[37.82222569],27.822821016483733,27.644236553282965,11.528029981969928,1021.2879691498998,0.5122197051258203,0.004115226337448561,no
40,Leven,neap,1,5.963623316594637,[132.67558193],112,[244.67558193],28.229224379093196,28.20578128124744,0.045988015083810035,1021.5499642867429,0.032355184187131875,8.23045267489712e-05,no
41,Leven,neap,2,3.39322177189533,[290.56003956],112,[402.56003956],28.229224379093196,28.152083421081045,0.045988015083810035,1021.5499642867429,0.032355184187131875,0.0001646090534979424,no
42,Leven,neap,5,1.9306977288832496,[8.52645338],112,[120.52645338],28.229224379093196,28.171484382781014,0.045988015083810035,1021.5499642867429,0.032355184187131875,0.000411522633744856,yes
43,Leven,neap,10,1.0985411419875573,[3.39246962],112,[115.39246962],28.229224379093196,28.11866340955596,0.045988015083810035,1021.5499642867429,0.032355184187131875,0.000823045267489712,yes
