,estuary,discharge,flushing_time,S_in_mean,S_out_mean,eta,vel_tide,ur,Ro_s,C_k,tidal_phase
84,Wyre,5,[2.57881809],29.98830998483571,29.716251647246242,87.30361068878689,0.5122197051258203,0.031446540880503145,1022.882047995164,0.0,spring
85,Wyre,5,[7.510489],30.172416564049712,29.375215902561095,0.34827457696643976,0.03235518418713187,0.031446540880503145,1022.6612574257769,0.0,neap
86,Wyre,10,[1.28940904],29.98830998483571,29.71625164724624,87.30361068878689,0.5122197051258203,0.06289308176100629,1022.882047995164,0.0,spring
87,Wyre,10,[3.7552445],30.172416564049712,29.375215902561095,0.34827457696643976,0.03235518418713187,0.06289308176100629,1022.6612574257769,0.0,neap
88,Wyre,20,[0.64470452],29.98830998483571,29.716251647246242,87.30361068878689,0.5122197051258203,0.12578616352201258,1022.882047995164,0.0,spring
89,Wyre,20,[1.87762225],30.172416564049712,29.375215902561095,0.34827457696643976,0.03235518418713187,0.12578616352201258,1022.6612574257769,0.0,neap
90,Wyre,30,[0.42980301],29.98830998483571,29.716251647246242,87.30361068878689,0.5122197051258203,0.18867924528301885,1022.882047995164,0.0,spring
91,Wyre,30,[1.25174817],30.172416564049712,29.375215902561095,0.34827457696643976,0.03235518418713187,0.18867924528301885,1022.6612574257769,0.0,neap
92,Wyre,40,[0.32235226],29.98830998483571,29.716251647246242,87.30361068878689,0.5122197051258203,0.25157232704402516,1022.882047995164,0.0,spring
93,Wyre,40,[0.93881112],30.172416564049712,29.375215902561095,0.34827457696643976,0.03235518418713187,0.25157232704402516,1022.6612574257769,0.0,neap
94,Wyre,50,[0.25788181],29.98830998483571,29.716251647246242,87.30361068878689,0.5122197051258203,0.31446540880503143,1022.882047995164,0.0,spring
95,Wyre,50,[0.7510489],30.172416564049712,29.375215902561095,0.34827457696643976,0.03235518418713187,0.31446540880503143,1022.6612574257769,0.0,neap
96,Kent,1,[-4.34065992e+25],27.59701763812046,6.845101047743593e+21,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,5.484330578070573e+22,spring
97,Kent,1,[-3.85486999e+11],28.030782522581905,61745755.015871264,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322,524619237.7356458,neap
98,Kent,2,[-2.60652657e+23],27.59701763812046,8.220841115624869e+19,24.90623761536712,0.5122197051258203,7.619047619047618e-05,1021.1029964400559,4.1593893103024636e+20,spring
99,Kent,2,[-2.44217162e+10],28.030782522581905,7823568.796075568,0.09935682271193526,0.032355184187131875,7.619047619047618e-05,1021.4182843710322,41994453.88582723,neap
100,Kent,5,[-3.01568604e+20],27.59701763812046,2.3778268783160435e+17,24.90623761536712,0.5122197051258203,0.00019047619047619048,1021.1029964400559,6.552660665418724e+17,spring
101,Kent,5,[-6.36021164e+08],28.030782522581905,509404.3430254468,0.09935682271193526,0.032355184187131875,0.00019047619047619048,1021.4182843710322,1491064.6917578897,neap
102,Kent,10,[-1.81068097e+18],27.59701763812046,2855393984231289.5,24.90623761536712,0.5122197051258203,0.00038095238095238096,1021.1029964400559,4969625068693544.0,spring
103,Kent,10,[-40221655.81909579],28.030782522581905,64453.43003756344,0.09935682271193526,0.032355184187131875,0.00038095238095238096,1021.4182843710322,119355.98799059699,neap
104,Kent,20,[-1.08701252e+16],27.59701763812046,34283775785290.527,24.90623761536712,0.5122197051258203,0.0007619047619047619,1021.1029964400559,37690298009364.62,spring
105,Kent,20,[-2537829.483373],28.030782522581905,8158.013219988276,0.09935682271193526,0.032355184187131875,0.0007619047619047619,1021.4182843710322,9554.147414232173,neap
106,Kent,30,[-5.45286942e+14],27.59701763812046,2579707431923.1045,24.90623761536712,0.5122197051258203,0.0011428571428571432,1021.1029964400559,2167973912919.0657,spring
107,Kent,30,[-503105.51331079],28.030782522581905,2445.5921361557507,0.09935682271193526,0.032355184187131875,0.0011428571428571432,1021.4182843710322,2181.1798709399914,neap
