estuary,discharge,C_k_value,flushing_time,S_in_mean,S_out_mean,Q_out_mean,eta,vel_tide,ur,Ro_s,tidal_phase,flushing_time_spring,flushing_time_neap,S_in_mean_spring,S_out_mean_spring,S_in_mean_neap,S_out_mean_neap,eta_spring,vel_tide_spring,ur_spring,Ro_s_spring,eta_neap,vel_tide_neap,ur_neap,Ro_s_neap
Kent,1,56.89866029018293,[-43663.44833903],27.59701763812046,34.48262308928214,1,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,spring,[-893.46078612],[-334.63538713],27.59701763812046,27.737913941397597,28.030782522581905,28.084383046930554,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322
Kent,1,56.89866029018293,[-43663.44833903],27.59701763812046,34.48262308928214,1,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,spring,[-5609.89754386],[-6365.89774978],27.59701763812046,28.481683017926642,28.030782522581905,29.05044592478311,24.90623761536712,0.5122197051258203,0.00038095238095238096,1021.1029964400559,0.09935682271193526,0.032355184187131875,0.00038095238095238096,1021.4182843710322
Kent,1,56.89866029018293,[-38038.05070168],28.030782522581905,34.123561532876806,1,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322,neap,[-893.46078612],[-334.63538713],27.59701763812046,27.737913941397597,28.030782522581905,28.084383046930554,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322
Kent,1,56.89866029018293,[-38038.05070168],28.030782522581905,34.123561532876806,1,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322,neap,[-5609.89754386],[-6365.89774978],27.59701763812046,28.481683017926642,28.030782522581905,29.05044592478311,24.90623761536712,0.5122197051258203,0.00038095238095238096,1021.1029964400559,0.09935682271193526,0.032355184187131875,0.00038095238095238096,1021.4182843710322
Kent,1,75.43120063354607,[-58284.20266578],27.59701763812046,36.78827574664304,1,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,spring,[-893.46078612],[-334.63538713],27.59701763812046,27.737913941397597,28.030782522581905,28.084383046930554,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322
Kent,1,75.43120063354607,[-58284.20266578],27.59701763812046,36.78827574664304,1,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,spring,[-5609.89754386],[-6365.89774978],27.59701763812046,28.481683017926642,28.030782522581905,29.05044592478311,24.90623761536712,0.5122197051258203,0.00038095238095238096,1021.1029964400559,0.09935682271193526,0.032355184187131875,0.00038095238095238096,1021.4182843710322
Kent,1,75.43120063354607,[-51601.31399596],28.030782522581905,36.29606943972531,1,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322,neap,[-893.46078612],[-334.63538713],27.59701763812046,27.737913941397597,28.030782522581905,28.084383046930554,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322
Kent,1,75.43120063354607,[-51601.31399596],28.030782522581905,36.29606943972531,1,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322,neap,[-5609.89754386],[-6365.89774978],27.59701763812046,28.481683017926642,28.030782522581905,29.05044592478311,24.90623761536712,0.5122197051258203,0.00038095238095238096,1021.1029964400559,0.09935682271193526,0.032355184187131875,0.00038095238095238096,1021.4182843710322
Kent,1,100.0,[-77667.10285027],27.59701763812046,39.84490567960943,1,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,spring,[-893.46078612],[-334.63538713],27.59701763812046,27.737913941397597,28.030782522581905,28.084383046930554,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322
Kent,1,100.0,[-77667.10285027],27.59701763812046,39.84490567960943,1,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,spring,[-5609.89754386],[-6365.89774978],27.59701763812046,28.481683017926642,28.030782522581905,29.05044592478311,24.90623761536712,0.5122197051258203,0.00038095238095238096,1021.1029964400559,0.09935682271193526,0.032355184187131875,0.00038095238095238096,1021.4182843710322
Kent,1,100.0,[-69582.28629967],28.030782522581905,39.17618786366877,1,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322,neap,[-893.46078612],[-334.63538713],27.59701763812046,27.737913941397597,28.030782522581905,28.084383046930554,24.90623761536712,0.5122197051258203,3.809523809523809e-05,1021.1029964400559,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322
Kent,1,100.0,[-69582.28629967],28.030782522581905,39.17618786366877,1,0.09935682271193526,0.032355184187131875,3.809523809523809e-05,1021.4182843710322,neap,[-5609.89754386],[-6365.89774978],27.59701763812046,28.481683017926642,28.030782522581905,29.05044592478311,24.90623761536712,0.5122197051258203,0.00038095238095238096,1021.1029964400559,0.09935682271193526,0.032355184187131875,0.00038095238095238096,1021.4182843710322
